mmsi,gap_start,gap_end,gap_duration_seconds,gap_class,overlaps_origin_window,last_known_lat,last_known_lon,last_known_sog,last_known_cog,last_known_heading,first_reappearance_lat,first_reappearance_lon,first_reappearance_sog,first_reappearance_cog,first_reappearance_heading,observed_gap_displacement_m,expected_displacement_m,displacement_difference_m,displacement_quality,segment_before_gap,segment_after_gap,evidence_note
338173000,2022-02-08 08:59:36+00:00,2022-02-08 09:29:37+00:00,1801.0,SHORT_GAP,False,28.96936,-90.00074,0.9,288.6,,28.96932,-90.0007,0.0,,,5.9097370728385155,833.8622796,-827.9525425271614,FULL,10,11,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-08 09:33:46+00:00,2022-02-08 10:10:26+00:00,2200.0,SHORT_GAP,False,28.96931,-90.00066,0.0,127.7,,28.96938,-90.00078,0.0,,,14.030821644492766,0.0,14.030821644492766,FULL,11,12,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-08 10:24:06+00:00,2022-02-08 10:41:57+00:00,1071.0,SHORT_GAP,False,28.9694,-90.00078,0.0,132.4,,28.96936,-90.00082,0.0,,,5.909736082258802,0.0,5.909736082258802,FULL,12,13,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-08 10:50:46+00:00,2022-02-08 11:17:16+00:00,1590.0,SHORT_GAP,False,28.96937,-90.00078,0.0,291.0,,28.96939,-90.00072,0.0,,,6.246231567808994,0.0,6.246231567808994,FULL,13,14,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-08 11:33:45+00:00,2022-02-08 14:31:21+00:00,10656.0,SIGNIFICANT_GAP,False,28.969,-90.00132,5.8,222.7,,28.99332,-89.96766,0.0,,,4246.53139995453,31795.108531200003,-27548.577131245474,FULL,14,15,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-08 14:41:21+00:00,2022-02-08 15:23:01+00:00,2500.0,SHORT_GAP,False,28.99331,-89.96771,0.0,201.2,,28.99327,-89.96767,0.0,,,5.909143956627379,0.0,5.909143956627379,FULL,15,16,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-08 17:07:41+00:00,2022-02-08 18:09:42+00:00,3721.0,SIGNIFICANT_GAP,False,28.99335,-89.96772,0.0,304.7,,28.96888,-89.99833,18.7,,,4033.462516639446,0.0,4033.462516639446,FULL,16,17,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-08 18:59:15+00:00,2022-02-08 19:21:46+00:00,1351.0,SHORT_GAP,False,28.99338,-89.96728,0.0,78.7,,28.99353,-89.96747,0.0,,,24.89339764766281,0.0,24.89339764766281,FULL,17,18,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-08 20:59:52+00:00,2022-02-08 21:37:50+00:00,2278.0,SHORT_GAP,False,28.98467,-89.97822,18.5,238.3,,28.97042,-90.00139,19.0,,,2755.096638930477,21680.213492000003,-18925.116853069525,FULL,18,19,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-08 22:14:47+00:00,2022-02-09 00:24:40+00:00,7793.0,SIGNIFICANT_GAP,False,28.99747,-89.95803,0.4,256.8,,28.99402,-89.96784,0.4,,,1028.329408075835,1603.6248368000001,-575.295428724165,FULL,19,20,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-09 01:51:50+00:00,2022-02-09 14:54:48+00:00,46978.0,LONG_GAP,False,28.971,-89.99382,18.4,227.0,,28.97136,-89.98463,18.5,,,894.902423233251,444682.9242688,-443788.02184556675,FULL,20,21,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-09 14:56:48+00:00,2022-02-09 15:13:29+00:00,1001.0,SHORT_GAP,False,28.9784,-89.97907,9.8,32.4,,28.98249,-89.95275,18.4,,,2600.270314740837,5046.592751200001,-2446.322436459164,FULL,21,22,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-09 15:13:29+00:00,2022-02-09 17:45:12+00:00,9103.0,SIGNIFICANT_GAP,False,28.98249,-89.95275,18.4,84.0,,28.98065,-89.97705,6.8,,,2372.5142647087446,86166.9006688,-83794.38640409124,FULL,22,23,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-09 17:46:37+00:00,2022-02-09 18:11:06+00:00,1469.0,SHORT_GAP,False,28.9818,-89.97681,1.5,231.3,,28.99324,-89.96715,0.0,,,1581.4463703605318,1133.577354,447.86901636053176,FULL,23,24,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-09 18:11:06+00:00,2022-02-09 18:46:16+00:00,2110.0,SHORT_GAP,False,28.99324,-89.96715,0.0,330.6,,28.9926,-89.96701,2.9,,,72.4556980342152,0.0,72.4556980342152,FULL,24,25,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-09 18:52:26+00:00,2022-02-09 20:01:29+00:00,4143.0,SIGNIFICANT_GAP,False,28.98203,-89.97662,0.9,227.9,,28.99532,-89.96543,0.0,,,1835.3238777897152,1918.2073428,-82.88346501028491,FULL,25,26,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-09 20:01:29+00:00,2022-02-09 20:32:21+00:00,1852.0,SHORT_GAP,False,28.99532,-89.96543,0.0,19.2,,28.99639,-89.96528,0.0,,,119.8696251372026,0.0,119.8696251372026,FULL,26,27,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-09 20:57:41+00:00,2022-02-09 21:26:51+00:00,1750.0,SHORT_GAP,False,28.99476,-89.96687,0.6,192.2,,28.99416,-89.96695,0.0,,,67.16912371156515,540.1662,-472.99707628843487,FULL,27,28,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-09 21:48:30+00:00,2022-02-10 17:39:03+00:00,71433.0,LONG_GAP,False,28.96828,-89.99175,19.4,226.0,,29.04122,-89.98224,19.7,,,8163.116555627986,712916.5980888,-704753.481533172,FULL,28,29,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-10 17:52:52+00:00,2022-02-11 13:42:12+00:00,71360.0,LONG_GAP,False,28.9709,-90.01548,20.0,210.2,,28.97092,-89.98693,21.5,,,2777.362921467126,734214.4768000001,-731437.1138785329,FULL,29,30,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-11 15:26:06+00:00,2022-02-11 16:06:26+00:00,2420.0,SHORT_GAP,False,28.97165,-89.98408,21.0,214.2,,28.96893,-90.00026,5.9,,,1602.8049674486804,26144.04408,-24541.23911255132,FULL,30,31,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-11 16:19:18+00:00,2022-02-11 20:30:23+00:00,15065.0,SIGNIFICANT_GAP,False,28.96984,-89.99828,14.9,93.8,,28.97295,-89.98327,18.6,,,1500.5669499212925,115476.47301400002,-113975.90606407872,FULL,31,32,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-11 20:45:20+00:00,2022-02-11 21:28:58+00:00,2618.0,SHORT_GAP,False,28.97053,-90.00654,21.1,237.8,,28.96819,-90.0033,7.7,,,408.71660405939764,28417.783671200003,-28009.067067140604,FULL,32,33,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-11 23:23:30+00:00,2022-02-12 12:28:35+00:00,47105.0,LONG_GAP,False,28.96974,-90.01078,18.2,214.5,,28.96962,-89.9547,19.4,,,5455.578937577125,441038.50008399994,-435582.9211464228,FULL,33,34,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-12 12:28:35+00:00,2022-02-12 14:39:22+00:00,7847.0,SIGNIFICANT_GAP,False,28.96962,-89.9547,19.4,247.4,,28.96836,-89.97696,18.7,,,2170.034630937062,78314.7361192,-76144.70148826293,FULL,34,35,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-12 15:45:38+00:00,2022-02-12 18:02:16+00:00,8198.0,SIGNIFICANT_GAP,False,29.04024,-89.95471,19.4,10.1,,29.03962,-89.98153,19.0,,,2608.2358474227944,81817.79109279999,-79209.5552453772,FULL,35,36,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-12 18:16:51+00:00,2022-02-12 18:32:27+00:00,936.0,SHORT_GAP,False,28.97098,-90.01792,19.5,205.4,,28.96864,-90.00575,11.6,,,1212.1730705903162,9389.631888,-8177.458817409683,FULL,36,37,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-12 19:25:34+00:00,2022-02-12 19:54:28+00:00,1734.0,SHORT_GAP,False,28.97202,-89.99219,19.6,219.2,,28.97148,-89.99598,19.7,,,373.5481135903705,17484.099561600004,-17110.55144800963,FULL,37,38,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-12 21:40:00+00:00,2022-02-12 23:08:58+00:00,5338.0,SIGNIFICANT_GAP,False,28.97219,-89.98687,19.2,225.0,,28.97122,-89.9932,20.1,,,625.1564958701166,52725.1597824,-52100.00328652988,FULL,38,39,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-12 23:37:48+00:00,2022-02-13 12:54:48+00:00,47820.0,LONG_GAP,False,28.97023,-89.98943,19.8,235.5,,28.96805,-90.00838,9.7,,,1859.3683223349697,487094.099184,-485234.73086166504,FULL,39,40,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-14 00:03:47+00:00,2022-02-14 12:05:23+00:00,43296.0,LONG_GAP,False,28.99235,-89.98542,0.0,165.5,,28.99239,-89.9853,0.0,,,12.490039027496948,0.0,12.490039027496948,FULL,40,41,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-14 12:32:43+00:00,2022-02-14 14:30:17+00:00,7054.0,SIGNIFICANT_GAP,False,28.97132,-90.00139,12.2,218.3,,28.96814,-89.95195,19.9,,,4822.58995716736,44272.43330719999,-39449.843350032635,FULL,41,42,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-14 14:30:17+00:00,2022-02-14 16:01:23+00:00,5466.0,SIGNIFICANT_GAP,False,28.96814,-89.95195,19.9,246.0,,28.97744,-89.98342,19.9,,,3231.3078145492846,55957.8229896,-52726.515175050714,FULL,42,43,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-14 16:32:02+00:00,2022-02-14 23:53:23+00:00,26481.0,LONG_GAP,False,28.96859,-89.99127,11.1,227.9,,28.97113,-89.99011,20.0,,,304.1446467158054,151215.20636039998,-150911.06171368418,FULL,43,44,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-15 00:14:40+00:00,2022-02-15 13:49:16+00:00,48876.0,LONG_GAP,True,28.96809,-90.00902,19.8,235.8,,28.97101,-90.00343,8.9,,,633.3623766285493,497850.5058912,-497217.1435145714,FULL,44,45,"AIS transmission gap overlaps spill origin time window. Treated as contextual evidence requiring further investigation, NOT proof of wrongdoing."
338173000,2022-02-15 15:00:15+00:00,2022-02-15 15:28:37+00:00,1702.0,SHORT_GAP,False,28.96925,-89.99603,13.0,232.3,,28.96812,-90.00748,12.7,,,1120.951667716331,11382.587943999999,-10261.636276283669,FULL,45,46,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-15 15:58:01+00:00,2022-02-15 22:08:05+00:00,22204.0,LONG_GAP,False,28.96948,-90.01086,10.5,223.5,,28.96873,-89.99539,21.1,,,1507.266520832823,119938.503048,-118431.23652716717,FULL,46,47,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-15 23:23:12+00:00,2022-02-16 01:04:19+00:00,6067.0,SIGNIFICANT_GAP,False,28.96921,-89.99836,21.2,232.7,,28.98066,-90.01686,21.1,,,2204.4569327170584,66167.9930576,-63963.53612488294,FULL,47,48,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-16 01:15:49+00:00,2022-02-16 11:11:18+00:00,35729.0,LONG_GAP,False,29.04084,-89.9833,20.8,29.6,,29.04093,-89.97172,20.6,,,1125.7916515820498,382315.84926080005,-381190.057609218,FULL,48,49,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-16 11:25:42+00:00,2022-02-16 13:31:25+00:00,7543.0,SIGNIFICANT_GAP,False,28.97008,-90.01886,20.6,197.6,,28.97044,-89.99468,15.4,,,2352.6010339036343,79937.2924952,-77584.69146129637,FULL,49,50,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-16 14:15:36+00:00,2022-02-16 15:35:10+00:00,4774.0,SIGNIFICANT_GAP,False,28.96986,-89.99326,14.5,227.6,,28.96918,-89.99458,12.6,,,149.01993232842298,35611.357012,-35462.337079671575,FULL,50,51,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-16 16:58:02+00:00,2022-02-16 17:44:49+00:00,2807.0,SHORT_GAP,False,28.96958,-89.99343,15.0,214.9,,28.96805,-90.00098,15.1,,,753.9295932815796,21660.66462,-20906.73502671842,FULL,51,52,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-16 18:02:20+00:00,2022-02-16 18:38:22+00:00,2162.0,SHORT_GAP,False,28.9696,-89.99473,16.0,241.4,,28.97012,-90.0045,16.4,,,952.1986105763459,17795.646848,-16843.448237423654,FULL,52,53,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-16 20:34:01+00:00,2022-02-16 21:22:20+00:00,2899.0,SHORT_GAP,False,28.97102,-90.00633,14.9,236.1,,28.96812,-89.95204,15.6,,,5291.268962101793,22221.460024400003,-16930.19106229821,FULL,53,54,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-16 21:22:20+00:00,2022-02-19 04:26:04+00:00,198224.0,LONG_GAP,False,28.96812,-89.95204,15.6,86.5,,29.03867,-89.97738,18.7,,,8222.759662692255,1590812.3003136,-1582589.540650908,FULL,54,55,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-19 04:39:53+00:00,2022-02-19 05:15:21+00:00,2128.0,SHORT_GAP,False,28.97364,-90.01477,19.1,209.4,,28.96926,-89.99198,19.5,,,2269.8795324443363,20909.473491200002,-18639.593958755664,FULL,55,56,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-19 10:01:29+00:00,2022-02-20 15:10:59+00:00,104970.0,LONG_GAP,False,28.96965,-89.99397,18.9,229.2,,28.98076,-89.97775,3.1,,,2003.9184000636365,1020622.428252,-1018618.5098519364,FULL,56,57,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-20 17:13:43+00:00,2022-02-20 17:59:58+00:00,2775.0,SHORT_GAP,False,28.96832,-90.01584,21.1,257.1,,28.96957,-89.99656,11.6,,,1880.7492706489213,30121.982310000003,-28241.233039351082,FULL,57,58,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-20 21:36:24+00:00,2022-02-21 00:57:16+00:00,12052.0,SIGNIFICANT_GAP,False,28.96848,-90.02651,19.9,237.2,,28.96986,-90.01425,11.7,,,1202.511373303839,123381.5738512,-122179.06247789615,FULL,58,59,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-21 01:10:41+00:00,2022-02-21 10:40:55+00:00,34214.0,LONG_GAP,False,29.03845,-89.98608,21.2,22.9,,29.04079,-89.97948,19.1,,,692.3764941139259,373145.16473920003,-372452.7882450861,FULL,59,60,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-21 10:55:31+00:00,2022-02-21 16:18:51+00:00,19400.0,SIGNIFICANT_GAP,False,28.9699,-90.01819,19.0,203.5,,28.97078,-90.01687,18.3,,,161.44455451441925,189624.05839999998,-189462.61384548555,FULL,60,61,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-21 16:32:57+00:00,2022-02-21 22:12:13+00:00,20356.0,SIGNIFICANT_GAP,False,29.03996,-89.9892,19.8,21.2,,29.03017,-89.95158,20.1,,,3815.9944366376585,207346.0368672,-203530.04243056232,FULL,61,62,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-21 22:42:26+00:00,2022-02-22 16:48:56+00:00,65190.0,LONG_GAP,False,28.9703,-90.01071,15.6,221.0,,28.97356,-90.02704,13.5,,,1629.410945069121,523171.02801600005,-521541.61707093095,FULL,62,63,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-22 19:52:28+00:00,2022-02-22 20:07:39+00:00,911.0,SHORT_GAP,False,28.99447,-89.96754,0.0,32.0,,28.99448,-89.96751,0.0,,,3.1224542463321163,0.0,3.1224542463321163,FULL,63,64,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-22 22:51:42+00:00,2022-02-22 23:48:40+00:00,3418.0,SHORT_GAP,False,28.96931,-90.00453,20.6,219.1,,28.97411,-90.01719,18.6,,,1342.2450768393926,36222.4135952,-34880.16851836061,FULL,64,65,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-23 00:03:34+00:00,2022-02-23 12:29:48+00:00,44774.0,LONG_GAP,False,29.03933,-89.99159,20.8,17.7,,29.03782,-89.98799,19.0,,,388.1734161370543,479101.28564480005,-478713.112228663,FULL,65,66,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-23 12:43:36+00:00,2022-02-23 14:59:26+00:00,8150.0,SIGNIFICANT_GAP,False,28.9683,-90.0201,19.9,201.6,,28.97111,-90.00649,21.4,,,1360.3744296039931,83435.10014,-82074.725710396,FULL,66,67,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-23 16:15:42+00:00,2022-02-23 17:31:18+00:00,4536.0,SIGNIFICANT_GAP,False,28.97026,-90.0141,19.8,210.0,,28.96989,-89.99448,21.8,,,1909.1047612187656,46203.6560832,-44294.551321981235,FULL,67,68,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-23 18:48:56+00:00,2022-02-23 21:37:40+00:00,10124.0,SIGNIFICANT_GAP,False,28.97445,-90.01503,20.0,182.3,,28.97137,-89.99612,22.3,,,1871.1506099343437,104164.62112000001,-102293.47051006567,FULL,68,69,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-23 21:49:01+00:00,2022-02-24 02:37:46+00:00,17325.0,SIGNIFICANT_GAP,False,28.99965,-89.95251,20.5,89.8,,28.99825,-89.95028,18.1,,,266.963829021807,182711.21714999998,-182444.25332097817,FULL,69,70,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-24 03:00:09+00:00,2022-02-24 06:11:44+00:00,11495.0,SIGNIFICANT_GAP,False,28.96948,-89.99872,11.1,229.5,,28.97455,-90.00741,12.2,,,1016.0985955698744,65640.22495799999,-64624.126362430114,FULL,70,71,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-24 07:08:24+00:00,2022-02-24 07:32:59+00:00,1475.0,SHORT_GAP,False,28.99434,-89.96745,0.0,235.3,,29.0021,-89.96672,9.1,,,865.7884412025797,0.0,865.7884412025797,FULL,71,72,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-24 07:43:26+00:00,2022-02-24 13:40:00+00:00,21394.0,SIGNIFICANT_GAP,False,29.04251,-89.95946,21.7,11.5,,29.02411,-89.95031,20.9,,,2231.0120795216153,238830.52411119998,-236599.51203167837,FULL,72,73,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-24 14:05:41+00:00,2022-02-24 14:41:24+00:00,2143.0,SHORT_GAP,False,28.97008,-89.99084,20.9,221.6,,28.9733,-90.02127,23.5,,,2981.8021103779624,23041.2779828,-20059.475872422037,FULL,73,74,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-24 14:53:13+00:00,2022-02-24 17:18:02+00:00,8689.0,SIGNIFICANT_GAP,False,29.04091,-89.97996,23.3,24.3,,29.04275,-89.9849,21.1,,,522.0036664712281,104151.0912428,-103629.08757632878,FULL,74,75,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-24 17:31:37+00:00,2022-02-25 15:19:23+00:00,78466.0,LONG_GAP,False,28.96958,-90.02264,21.3,205.8,,28.98075,-89.97766,1.1,,,4548.374085531633,859803.5298552,-855255.1557696683,FULL,75,76,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-25 16:10:15+00:00,2022-02-25 18:11:22+00:00,7267.0,SIGNIFICANT_GAP,False,28.9689,-89.99628,11.1,227.9,,28.9689,-90.01276,19.2,,,1603.2159476185368,41496.9564828,-39893.74053518147,FULL,76,77,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-25 18:52:18+00:00,2022-02-26 13:50:47+00:00,68309.0,LONG_GAP,False,28.97073,-90.00307,13.5,231.1,,28.96901,-90.00706,16.0,,,432.71447123787135,474405.59514600004,-473972.8806747622,FULL,77,78,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-26 14:31:29+00:00,2022-02-26 16:02:12+00:00,5443.0,SIGNIFICANT_GAP,False,28.99417,-89.9524,17.7,86.9,,28.96912,-89.95553,22.5,,,2802.0225627418235,49562.100848400005,-46760.07828565818,FULL,78,79,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-26 16:02:12+00:00,2022-02-26 19:13:15+00:00,11463.0,SIGNIFICANT_GAP,False,28.96912,-89.95553,22.5,247.9,,28.97032,-90.00428,10.3,,,4744.362065856649,132684.11037,-127939.74830414336,FULL,79,80,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-26 19:53:25+00:00,2022-02-26 21:04:27+00:00,4262.0,SIGNIFICANT_GAP,False,28.96908,-90.00495,22.4,223.0,,28.96891,-90.01065,12.7,,,554.831970297116,49113.3513472,-48558.519376902885,FULL,80,81,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
338173000,2022-02-26 21:28:30+00:00,2022-02-26 22:41:19+00:00,4369.0,SIGNIFICANT_GAP,False,28.96815,-90.00885,19.9,231.0,,28.96947,-90.00501,10.3,,,401.36584302488745,44727.3561364,-44325.99029337511,FULL,81,82,AIS transmission gap does not directly overlap origin time window. Included for completeness as part of candidate vessel trajectory.
